--------------------------------------------------------------------------
The library attempted to open the following supporting CUDA libraries,
but each of them failed.  CUDA-aware support is disabled.
libcuda.so.1: cannot open shared object file: No such file or directory
libcuda.dylib: cannot open shared object file: No such file or directory
/usr/lib64/libcuda.so.1: cannot open shared object file: No such file or directory
/usr/lib64/libcuda.dylib: cannot open shared object file: No such file or directory
If you are not interested in CUDA-aware support, then run with
--mca mpi_cuda_support 0 to suppress this message.  If you are interested
in CUDA-aware support, then try setting LD_LIBRARY_PATH to the location
of libcuda.so.1 to get passed this issue.
--------------------------------------------------------------------------
x= -3207500.0 , y= -125037.65941485371 , lat= -61.06375772318 , lon= -92.23242539051064
x= -3207000.0 , y= -125537.80945236309 , lat= -61.067910523691516 , lon= -92.24169508169463
x= -3206500.0 , y= -126037.95948987246 , lat= -61.07206267226765 , lon= -92.25096754631919
x= -3206000.0 , y= -126538.10952738185 , lat= -61.076214168534094 , lon= -92.26024278514329
x= -3205500.0 , y= -127038.25956489122 , lat= -61.080365012116445 , lon= -92.26952079892577
x= -3205000.0 , y= -127538.4096024006 , lat= -61.08451520264026 , lon= -92.27880158842532
x= -3204500.0 , y= -128038.55963990997 , lat= -61.08866473973078 , lon= -92.28808515440055
x= -3204000.0 , y= -128538.70967741935 , lat= -61.092813623013164 , lon= -92.2973714976099
x= -3203500.0 , y= -129038.85971492874 , lat= -61.09696185211248 , lon= -92.30666061881169
x= -3203000.0 , y= -129539.00975243811 , lat= -61.10110942665357 , lon= -92.31595251876408
